Player,Age,Value,Goals,Assists
Lamine Yamal,18,"200,000,000",8,10
Erling Haaland,24,"200,000,000",24,3
Kylian Mbappé,26,"200,000,000",26,4
Jude Bellingham,22,"160,000,000",4,4
Vinícius Júnior,24,"150,000,000",6,9
Pedri,22,"140,000,000",2,6
Luis Diaz,28,"70,000,000",14,7
Michael Olise,22,"130,000,000",9,14
Bukayo Saka,23,"130,000,000",8,3
Cole Palmer,24,"120,000,000",3,0
Federico Valverde,26,"120,000,000",0,4
Declan Rice,25,"120,000,000",2,6
Alexander Isak,24,"120,000,000",2,1
Moisés Caicedo,23,"110,000,000",4,1
João Neves,20,"110,000,000",6,2
Florian Wirtz,22,"110,000,000",0,5
Vitinha,24,PSG,"110,000,000",5,8
Julián Álvarez,24,"100,000,000",11,4
Ousmane Dembélé,27,"100,000,000",3,3
Désiré Doué,20,"90,000,000",4,3
Arda Güler,20,"90,000,000",3,7
Khvicha Kvaratskhelia,24,"90,000,000",5,5
William Saliba,23,"90,000,000",0,1
Ryan Gravenberch,23,"90,000,000",3,3
Hugo Ekitiké,22,"85,000,000",10,1
Dominik Szoboszlai,24,"85,000,000",5,5
Lautaro Martínez,27,"85,000,000",15,5
Pau Cubarsí,18,"80,000,000",0,0
Enzo Fernández,24,"85,000,000",5,2
Bruno Guimarães,27,"80,000,000",5,7
Raphinha,29,"80,000,000",6,3
Phil Foden,24,"80,000,000",10,4
Achraf Hakimi,31,"80,000,000",2,4
Martin Ødegaard,26,"75,000,000",0,2
Alessandro Bastoni,26,"80,000,000",1,4
Kenan Yıldız,20,"75,000,000",6,6
Nuno Mendes,22,"75,000,000",4,4
Alexis Mac Allister,26,"85,000,000",3,2
Rodri,29,"75,000,000",0,0
Gabriel Magalhães,26,"75,000,000",2,3
Aurélien Tchouaméni,24,"75,000,000",0,0
Victor Osimhen,27,"75,000,000",12,0
Sandro Tonali,24,"75,000,000",0,3
Marcus Thuram,28,"75,000,000",8,2
Bryan Mbeumo,26,"75,000,000",7,1
Harry Kane,31,"75,000,000",29,3
Dean Huijsen,19,"70,000,000",1,1
Estevao,18,"80,000,000",9,1
Bradley Barcola,23,"70,000,000",5,3
Willian Pacho,24,"70,000,000",2,0
